time,stack,heap,heap_extra
0,0,0,0
319,0,472,16
323,0,4568,24
326,0,24568,32
331,0,24576,48
332,0,24576,48
332,0,24568,32
333,0,24580,44
333,0,24608,48
334,0,24568,32
334,0,24568,32
335,0,24576,48
335,0,24576,48
336,0,24568,32
336,0,24568,32
337,0,24576,48
337,0,24588,52
338,0,24568,32
338,0,24568,32
339,0,24580,44
339,0,24568,32
340,0,24576,48
340,0,24568,32
341,0,24576,48
341,0,34568,40
341,0,24588,52
342,0,24568,32
342,0,24568,32
343,0,24724,44
343,0,24568,32
344,0,24576,48
344,0,24576,48
345,0,24568,32
345,0,24588,52
346,0,24568,32
346,0,24588,52
347,0,24568,32
347,0,24580,44
348,0,24568,32
348,0,24576,48
349,0,24568,32
349,0,24588,52
350,0,24568,32
350,0,24568,32
351,0,24608,48
351,0,24608,48
352,0,24568,32
352,0,25192,40
352,0,24568,32
352,0,25816,40
353,0,24568,32
353,0,27068,52
353,0,24568,32
353,0,29568,48
353,0,24568,32
353,0,34568,40
353,0,24568,32
353,0,44568,40
353,0,44568,40
353,0,24568,32
353,0,24627,45
354,0,25099,61
362,0,29195,69
365,0,25099,61
366,0,24627,45
366,0,20531,37
366,0,20059,21
366,0,20000,8
366,0,0,0
