time,stack,heap,heap_extra
0,0,0,0
321,0,472,16
325,0,4568,24
328,0,44568,32
337,0,44576,48
338,0,44568,32
339,0,44584,40
340,0,44576,48
341,0,44568,32
342,0,44580,44
343,0,44588,52
344,0,44580,44
345,0,44576,48
346,0,44608,48
347,0,44608,48
348,0,44588,52
349,0,44568,32
350,0,44576,48
351,0,44568,32
352,0,44588,52
353,0,44568,32
354,0,44644,44
355,0,44568,32
356,0,44568,32
357,0,44568,32
358,0,44568,32
359,0,64568,40
360,0,44576,48
361,0,44568,32
362,0,44576,48
363,0,44568,32
364,0,44568,32
365,0,44588,52
366,0,44568,32
367,0,44580,44
368,0,44568,32
369,0,44568,32
370,0,44576,48
371,0,44576,48
372,0,44576,48
373,0,44576,48
374,0,44568,32
375,0,44568,32
376,0,44588,52
377,0,44568,32
378,0,44568,32
379,0,44568,32
380,0,44576,48
381,0,44580,44
382,0,44580,44
383,0,44576,48
384,0,44568,32
384,0,84568,40
385,0,45099,61
393,0,49195,69
396,0,45099,61
397,0,44627,45
